Date,Price,Open,High,Low
5-Jan-82,184.65,184.65,184.65,184.65
6-Jan-82,185.06,185.06,185.06,185.06
7-Jan-82,186.88,186.88,186.88,186.88
8-Jan-82,186.58,186.58,186.58,186.58
11-Jan-82,187.64,187.64,187.64,187.64
12-Jan-82,187.2,187.2,187.2,187.2
13-Jan-82,188.35,188.35,188.35,188.35
14-Jan-82,187.96,187.96,187.96,187.96
15-Jan-82,187.88,187.88,187.88,187.88
18-Jan-82,188.43,188.43,188.43,188.43
19-Jan-82,188,188,188,188
20-Jan-82,188.72,188.72,188.72,188.72
21-Jan-82,189.41,189.41,189.41,189.41
22-Jan-82,190.32,190.32,190.32,190.32
25-Jan-82,191.37,191.37,191.37,191.37
26-Jan-82,190.97,190.97,190.97,190.97
27-Jan-82,191.78,191.78,191.78,191.78
28-Jan-82,192.77,192.77,192.77,192.77
29-Jan-82,192.77,192.77,192.77,192.77
1-Feb-82,193.53,193.53,193.53,193.53
2-Feb-82,193.25,193.25,193.25,193.25
3-Feb-82,194.42,194.42,194.42,194.42
4-Feb-82,193.47,193.47,193.47,193.47
5-Feb-82,193.6,193.6,193.6,193.6
8-Feb-82,194.17,194.17,194.17,194.17
9-Feb-82,194.31,194.31,194.31,194.31
10-Feb-82,194.57,194.57,194.57,194.57
11-Feb-82,194.82,194.82,194.82,194.82
16-Feb-82,197.45,197.45,197.45,197.45
17-Feb-82,197.25,197.25,197.25,197.25
18-Feb-82,193.84,193.84,193.84,193.84
19-Feb-82,191.93,191.93,191.93,191.93
22-Feb-82,190.76,190.76,190.76,190.76
23-Feb-82,192.38,192.38,192.38,192.38
24-Feb-82,192.07,192.07,192.07,192.07
25-Feb-82,193.18,193.18,193.18,193.18
26-Feb-82,192.99,192.99,192.99,192.99
1-Mar-82,194.04,194.04,194.04,194.04
2-Mar-82,193.94,193.94,193.94,193.94
3-Mar-82,193.11,193.11,193.11,193.11
4-Mar-82,193.99,193.99,193.99,193.99
5-Mar-82,192.84,192.84,192.84,192.84
8-Mar-82,193.01,193.01,193.01,193.01
9-Mar-82,195.9,195.9,195.9,195.9
10-Mar-82,195.59,195.59,195.59,195.59
11-Mar-82,197.51,197.51,197.51,197.51
12-Mar-82,197.48,197.48,197.48,197.48
15-Mar-82,197.4,197.4,197.4,197.4
16-Mar-82,198.49,198.49,198.49,198.49
17-Mar-82,198.57,198.57,198.57,198.57
18-Mar-82,199.14,199.14,199.14,199.14
19-Mar-82,199.88,199.88,199.88,199.88
22-Mar-82,200.97,200.97,200.97,200.97
23-Mar-82,200.57,200.57,200.57,200.57
24-Mar-82,198.99,198.99,198.99,198.99
25-Mar-82,199.97,199.97,199.97,199.97
26-Mar-82,201.14,201.14,201.14,201.14
29-Mar-82,200.55,200.55,200.55,200.55
30-Mar-82,199.75,199.75,199.75,199.75
31-Mar-82,201.7,201.7,201.7,201.7
1-Apr-82,200.65,200.65,200.65,200.65
2-Apr-82,200.29,200.29,200.29,200.29
5-Apr-82,202.48,202.48,202.48,202.48
6-Apr-82,202.08,202.08,202.08,202.08
7-Apr-82,199.45,199.45,199.45,199.45
8-Apr-82,201.73,201.73,201.73,201.73
9-Apr-82,201.35,201.35,201.35,201.35
12-Apr-82,201.46,201.46,201.46,201.46
13-Apr-82,201.44,201.44,201.44,201.44
14-Apr-82,201.98,201.98,201.98,201.98
15-Apr-82,203.26,203.26,203.26,203.26
16-Apr-82,202.95,202.95,202.95,202.95
19-Apr-82,201.02,201.02,201.02,201.02
20-Apr-82,198.86,198.86,198.86,198.86
21-Apr-82,198.87,198.87,198.87,198.87
22-Apr-82,198.15,198.15,198.15,198.15
23-Apr-82,196.94,196.94,196.94,196.94
26-Apr-82,194.99,194.99,194.99,194.99
27-Apr-82,194.19,194.19,194.19,194.19
28-Apr-82,193.54,193.54,193.54,193.54
29-Apr-82,192.95,192.95,192.95,192.95
30-Apr-82,193.32,193.32,193.32,193.32
3-May-82,193.17,193.17,193.17,193.17
4-May-82,193.58,193.58,193.58,193.58
5-May-82,191.35,191.35,191.35,191.35
6-May-82,191.18,191.18,191.18,191.18
7-May-82,190.38,190.38,190.38,190.38
10-May-82,190.34,190.34,190.34,190.34
11-May-82,188.91,188.91,188.91,188.91
12-May-82,188.56,188.56,188.56,188.56
13-May-82,189.81,189.81,189.81,189.81
14-May-82,190.05,190.05,190.05,190.05
17-May-82,191.08,191.08,191.08,191.08
18-May-82,191.4,191.4,191.4,191.4
19-May-82,193.18,193.18,193.18,193.18
20-May-82,193.27,193.27,193.27,193.27
21-May-82,192.26,192.26,192.26,192.26
24-May-82,192.8,192.8,192.8,192.8
25-May-82,194.04,194.04,194.04,194.04
26-May-82,194.35,194.35,194.35,194.35
27-May-82,195.47,195.47,195.47,195.47
28-May-82,195.53,195.53,195.53,195.53
1-Jun-82,195.53,195.53,195.53,195.53
2-Jun-82,196.42,196.42,196.42,196.42
3-Jun-82,195.48,195.48,195.48,195.48
4-Jun-82,194.89,194.89,194.89,194.89
7-Jun-82,195.84,195.84,195.84,195.84
8-Jun-82,196.23,196.23,196.23,196.23
9-Jun-82,196.92,196.92,196.92,196.92
10-Jun-82,197.62,197.62,197.62,197.62
11-Jun-82,196.12,196.12,196.12,196.12
14-Jun-82,197.03,197.03,197.03,197.03
15-Jun-82,197.31,197.31,197.31,197.31
16-Jun-82,197.07,197.07,197.07,197.07
17-Jun-82,197.36,197.36,197.36,197.36
18-Jun-82,197.13,197.13,197.13,197.13
21-Jun-82,197.73,197.73,197.73,197.73
22-Jun-82,196.01,196.01,196.01,196.01
23-Jun-82,197.02,197.02,197.02,197.02
24-Jun-82,196.14,196.14,196.14,196.14
25-Jun-82,200.12,200.12,200.12,200.12
28-Jun-82,199.39,199.39,199.39,199.39
29-Jun-82,196.6,196.6,196.6,196.6
30-Jun-82,197.18,197.18,197.18,197.18
1-Jul-82,198.98,198.98,198.98,198.98
2-Jul-82,199.56,199.56,199.56,199.56
6-Jul-82,199.42,199.42,199.42,199.42
7-Jul-82,199.76,199.76,199.76,199.76
8-Jul-82,199.83,199.83,199.83,199.83
9-Jul-82,199.92,199.92,199.92,199.92
12-Jul-82,199.88,199.88,199.88,199.88
13-Jul-82,202.13,202.13,202.13,202.13
14-Jul-82,201.61,201.61,201.61,201.61
15-Jul-82,202.04,202.04,202.04,202.04
16-Jul-82,200.99,200.99,200.99,200.99
19-Jul-82,201.94,201.94,201.94,201.94
20-Jul-82,201.82,201.82,201.82,201.82
21-Jul-82,200.99,200.99,200.99,200.99
22-Jul-82,199.78,199.78,199.78,199.78
23-Jul-82,198.28,198.28,198.28,198.28
26-Jul-82,198.55,198.55,198.55,198.55
27-Jul-82,199.82,199.82,199.82,199.82
28-Jul-82,202.16,202.16,202.16,202.16
29-Jul-82,203.33,203.33,203.33,203.33
30-Jul-82,205.51,205.51,205.51,205.51
2-Aug-82,205.23,205.23,205.23,205.23
3-Aug-82,205.77,205.77,205.77,205.77
4-Aug-82,207.71,207.71,207.71,207.71
5-Aug-82,208.15,208.15,208.15,208.15
6-Aug-82,208.33,208.33,208.33,208.33
9-Aug-82,208.97,208.97,208.97,208.97
10-Aug-82,210.5,210.5,210.5,210.5
11-Aug-82,210.08,210.08,210.08,210.08
12-Aug-82,208.86,208.86,208.86,208.86
13-Aug-82,209.3,209.3,209.3,209.3
16-Aug-82,210.94,210.94,210.94,210.94
17-Aug-82,213.03,213.03,213.03,213.03
18-Aug-82,209.02,209.02,209.02,209.02
19-Aug-82,207.96,207.96,207.96,207.96
20-Aug-82,206.14,206.14,206.14,206.14
23-Aug-82,205.72,205.72,205.72,205.72
24-Aug-82,203.82,203.82,203.82,203.82
25-Aug-82,203.44,203.44,203.44,203.44
26-Aug-82,205.2,205.2,205.2,205.2
27-Aug-82,206.92,206.92,206.92,206.92
30-Aug-82,209.8,209.8,209.8,209.8
31-Aug-82,210.65,210.65,210.65,210.65
1-Sep-82,209.34,209.34,209.34,209.34
2-Sep-82,207.13,207.13,207.13,207.13
3-Sep-82,207.85,207.85,207.85,207.85
7-Sep-82,207.4,207.4,207.4,207.4
8-Sep-82,209.75,209.75,209.75,209.75
9-Sep-82,209.72,209.72,209.72,209.72
10-Sep-82,212.02,212.02,212.02,212.02
13-Sep-82,213.3,213.3,213.3,213.3
14-Sep-82,212.95,212.95,212.95,212.95
15-Sep-82,213.16,213.16,213.16,213.16
16-Sep-82,213.44,213.44,213.44,213.44
17-Sep-82,213.24,213.24,213.24,213.24
20-Sep-82,214.62,214.62,214.62,214.62
21-Sep-82,215.78,215.78,215.78,215.78
22-Sep-82,213.75,213.75,213.75,213.75
23-Sep-82,215.74,215.74,215.74,215.74
24-Sep-82,215.99,215.99,215.99,215.99
27-Sep-82,218.45,218.45,218.45,218.45
28-Sep-82,218.33,218.33,218.33,218.33
29-Sep-82,217.87,217.87,217.87,217.87
30-Sep-82,216.97,216.97,216.97,216.97
1-Oct-82,217.63,217.63,217.63,217.63
4-Oct-82,220.84,220.84,220.84,220.84
5-Oct-82,220.7,220.7,220.7,220.7
6-Oct-82,221.13,221.13,221.13,221.13
7-Oct-82,218.65,218.65,218.65,218.65
8-Oct-82,217.1,217.1,217.1,217.1
12-Oct-82,214.32,214.32,214.32,214.32
13-Oct-82,216.93,216.93,216.93,216.93
14-Oct-82,218.46,218.46,218.46,218.46
15-Oct-82,219.22,219.22,219.22,219.22
18-Oct-82,218.64,218.64,218.64,218.64
19-Oct-82,219.01,219.01,219.01,219.01
20-Oct-82,220.16,220.16,220.16,220.16
21-Oct-82,222.59,222.59,222.59,222.59
22-Oct-82,222.96,222.96,222.96,222.96
25-Oct-82,225.26,225.26,225.26,225.26
26-Oct-82,224.89,224.89,224.89,224.89
27-Oct-82,224.71,224.71,224.71,224.71
28-Oct-82,226.03,226.03,226.03,226.03
29-Oct-82,225.95,225.95,225.95,225.95
1-Nov-82,226.08,226.08,226.08,226.08
3-Nov-82,226.36,226.36,226.36,226.36
4-Nov-82,226.99,226.99,226.99,226.99
5-Nov-82,225.46,225.46,225.46,225.46
8-Nov-82,225.7,225.7,225.7,225.7
9-Nov-82,222.31,222.31,222.31,222.31
10-Nov-82,219.52,219.52,219.52,219.52
12-Nov-82,219.42,219.42,219.42,219.42
15-Nov-82,218.21,218.21,218.21,218.21
16-Nov-82,215.07,215.07,215.07,215.07
17-Nov-82,214.73,214.73,214.73,214.73
18-Nov-82,214.38,214.38,214.38,214.38
19-Nov-82,211.11,211.11,211.11,211.11
22-Nov-82,207.78,207.78,207.78,207.78
23-Nov-82,209.56,209.56,209.56,209.56
24-Nov-82,204,204,204,204
26-Nov-82,202.02,202.02,202.02,202.02
29-Nov-82,201.88,201.88,201.88,201.88
30-Nov-82,201.36,201.36,201.36,201.36
1-Dec-82,200.55,200.55,200.55,200.55
2-Dec-82,199.92,199.92,199.92,199.92
3-Dec-82,199.48,199.48,199.48,199.48
6-Dec-82,197.44,197.44,197.44,197.44
7-Dec-82,194.98,194.98,194.98,194.98
8-Dec-82,195.07,195.07,195.07,195.07
9-Dec-82,198.3,198.3,198.3,198.3
10-Dec-82,197.72,197.72,197.72,197.72
13-Dec-82,199.85,199.85,199.85,199.85
14-Dec-82,197.51,197.51,197.51,197.51
15-Dec-82,197.79,197.79,197.79,197.79
16-Dec-82,196.22,196.22,196.22,196.22
17-Dec-82,197.32,197.32,197.32,197.32
20-Dec-82,197.71,197.71,197.71,197.71
21-Dec-82,195.6,195.6,195.6,195.6
22-Dec-82,194.28,194.28,194.28,194.28
23-Dec-82,192.15,192.15,192.15,192.15
24-Dec-82,191.84,191.84,191.84,191.84
27-Dec-82,191.02,191.02,191.02,191.02
28-Dec-82,188.88,188.88,188.88,188.88
29-Dec-82,187.77,187.77,187.77,187.77
30-Dec-82,189.74,189.74,189.74,189.74
31-Dec-82,190.81,190.81,190.81,190.81
3-Jan-83,188.57,188.57,188.57,188.57
4-Jan-83,186.81,186.81,186.81,186.81
5-Jan-83,186.26,186.26,186.26,186.26
6-Jan-83,186.58,186.58,186.58,186.58
7-Jan-83,186.71,186.71,186.71,186.71
10-Jan-83,185.01,185.01,185.01,185.01
11-Jan-83,187.02,187.02,187.02,187.02
12-Jan-83,188.46,188.46,188.46,188.46
13-Jan-83,187.83,187.83,187.83,187.83
14-Jan-83,188.51,188.51,188.51,188.51
17-Jan-83,187.79,187.79,187.79,187.79
18-Jan-83,189.23,189.23,189.23,189.23
19-Jan-83,191.71,191.71,191.71,191.71
20-Jan-83,192.03,192.03,192.03,192.03
21-Jan-83,192.37,192.37,192.37,192.37
24-Jan-83,194.89,194.89,194.89,194.89
25-Jan-83,190.77,190.77,190.77,190.77
26-Jan-83,190.16,190.16,190.16,190.16
27-Jan-83,190.83,190.83,190.83,190.83
28-Jan-83,191.21,191.21,191.21,191.21
31-Jan-83,193.89,193.89,193.89,193.89
1-Feb-83,193.75,193.75,193.75,193.75
2-Feb-83,195.52,195.52,195.52,195.52
3-Feb-83,193.6,193.6,193.6,193.6
4-Feb-83,195.55,195.55,195.55,195.55
7-Feb-83,193.82,193.82,193.82,193.82
8-Feb-83,193.83,193.83,193.83,193.83
9-Feb-83,192.94,192.94,192.94,192.94
10-Feb-83,191.52,191.52,191.52,191.52
11-Feb-83,191.51,191.51,191.51,191.51
14-Feb-83,191.7,191.7,191.7,191.7
15-Feb-83,191.19,191.19,191.19,191.19
16-Feb-83,190.06,190.06,190.06,190.06
17-Feb-83,190.38,190.38,190.38,190.38
18-Feb-83,190.69,190.69,190.69,190.69
22-Feb-83,190.67,190.67,190.67,190.67
23-Feb-83,191.03,191.03,191.03,191.03
24-Feb-83,190.64,190.64,190.64,190.64
25-Feb-83,191.33,191.33,191.33,191.33
28-Feb-83,193.48,193.48,193.48,193.48
1-Mar-83,194.59,194.59,194.59,194.59
2-Mar-83,193.6,193.6,193.6,193.6
3-Mar-83,193.28,193.28,193.28,193.28
